Gastag;Stand;VHP_IND;VHP_PLUS;VHP_MINUS;REVK_MIN;REEK_MAX;TRANS_EK;TRANS_VK;AE_NEG;AE_POS
17.10.2015;17.10.2015 22:36;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;17.10.2015 22:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 22:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 22:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
16.10.2015;17.10.2015 22:06;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 22:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 22:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 22:05;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
17.10.2015;17.10.2015 21:36;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
18.10.2015;17.10.2015 21:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 21:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 21:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 21:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 21:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 21:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 21:05;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
16.10.2015;17.10.2015 20:36;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 20:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 20:35;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
18.10.2015;17.10.2015 20:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 20:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 20:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 20:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 20:05;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
18.10.2015;17.10.2015 19:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 19:36;1,8234;1,8599;1,7869;1,6175;0;0;0;1,6175;1,8599
16.10.2015;17.10.2015 19:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 19:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 19:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 19:05;1,8263;1,8628;1,7898;1,6175;0;0;0;1,6175;1,8628
18.10.2015;17.10.2015 19:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 19:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
16.10.2015;17.10.2015 18:36;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 18:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 18:35;1,8277;1,8643;1,7911;1,6175;0;0;0;1,6175;1,8643
18.10.2015;17.10.2015 18:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 18:30;1,8358;1,8725;1,7991;1,6175;0;0;0;1,6175;1,8725
18.10.2015;17.10.2015 18:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 18:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 18:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 18:05;1,8358;1,8725;1,7991;0;0;0;0;1,7991;1,8725
18.10.2015;17.10.2015 17:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 17:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 17:35;1,8358;1,8725;1,7991;0;0;0;0;1,7991;1,8725
16.10.2015;17.10.2015 17:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 17:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 17:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 17:05;1,8358;1,8725;1,7991;0;0;0;0;1,7991;1,8725
16.10.2015;17.10.2015 17:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 16:36;1,8377;1,8745;1,8009;0;0;0;0;1,8009;1,8745
16.10.2015;17.10.2015 16:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 16:35;1,8377;1,8745;1,8009;0;0;0;0;1,8009;1,8745
17.10.2015;17.10.2015 16:35;1,8358;1,8725;1,7991;0;0;0;0;1,7991;1,8725
17.10.2015;17.10.2015 16:06;1,8366;1,8733;1,7999;0;0;0;0;1,7999;1,8733
18.10.2015;17.10.2015 16:06;1,8375;1,8743;1,8008;0;0;0;0;1,8008;1,8743
18.10.2015;17.10.2015 16:05;1,8375;1,8743;1,8008;0;0;0;0;1,8008;1,8743
16.10.2015;17.10.2015 16:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
16.10.2015;17.10.2015 15:36;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 15:36;1,8375;1,8743;1,8008;0;0;0;0;1,8008;1,8743
18.10.2015;17.10.2015 15:35;1,8375;1,8743;1,8008;0;0;0;0;1,8008;1,8743
17.10.2015;17.10.2015 15:35;1,8376;1,8744;1,8008;0;0;0;0;1,8008;1,8744
16.10.2015;17.10.2015 15:06;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
